file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0110_0059_482667_to_490640,གྲྭ་བ་ལབ་ཡ་འདི། ཁྱིམ་ནས་ཁྱིམ་མེད་པ་རབ་ཏུ་བྱུང་བ་རེད་འདྲ་བོ་ཅིག་ལབ་ཀྱི་འདུག་བ་ཡ། ཨ་ལེ་ལེ། ད་ཁྱིམ་ནས་ཁྱིམ་མེད་པ་རབ་ཏུ་བྱུང་བ་ལབ་ན་ག་རེད་ལབ་ཀི་རེད་ལབ་ན། ད་ཁོ་ཚོས་འདི་བཤད་ཀྱི་འདུག་རེ་ད། འགྲེལ་བཤད་འདྲ་བོ་བརྒྱབ་ཀྱི་འདུག ,grwa ba lab ya 'di/_khyim nas khyim med pa rab tu byung ba red 'dra bo cig lab kyi 'dug ba ya/_a le le/_da khyim nas khyim med pa rab tu byung ba lab na ga red lab ki red lab na/_da kho tshos 'di bshad kyi 'dug re da/_'grel bshad 'dra bo brgyab kyi 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0059_482667_to_490640.wav,STT_NS,3,214,7.973,wav16k/STT_NS0110_0059_482667_to_490640.wav,གྲྭ་བ་ལབ་ཡ་དེ་ཁྱིམ་ནས་ཁྱིམ་མེད་པ་རབ་ཏུ་བྱུང་བ་རེད་འདྲ་བོ་ཅིག་ལབ་ཀི་འདུག་བ་ཡ། ཨ་ལེ་ེ། ད་ཁྱི་ནས་ཁྱིམ་མེད་པ་རབ་ཏུ་བྱུང་བ་ལབ་ན་ག་འདྲའི་ལབ་ཀི་ཡོད་རེད་ལབ་ན། ད་ཁོ་ཚོས་འདི་བཤེད་ཀི་འདུག་རེད་བ།འགྲེལ་བཤད་འདྲ་བོ་རྒྱག་གི་འད
STT_NS0110_0060_490640_to_498614,ཁོ་ཚོ། ངས་སྔོན་མ། ཁོ་ཚོ་གྱི་ང་ཚོ་གྲྭ་པ་ལབ་ཡ་འདི་ཁྱིམ་ནས་ཁྱིམ་མེད་པ་རབ་ཏུ་བྱུང་རེད་ལབ་ཀྱི་རེད་ད། འདྲ་བོ་ལབ་ཀྱི་འདུག་ད། ངས་ག་རེ་ལབ་ཀི་རེད་འདྲ་བོ་སྐད་ཆ་དྲིས་ཡིན་པ་ཡོད་བ། ཨོང།  ,kho tsho/_ngas sngon ma/_kho tsho gyi nga tsho grwa pa lab ya 'di khyim nas khyim med pa rab tu byung red lab kyi red da/_'dra bo lab kyi 'dug da/_ngas ga re lab ki red 'dra bo skad cha dris yin pa yod ba/_ong/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0060_490640_to_498614.wav,STT_NS,3,173,7.974,wav16k/STT_NS0110_0060_490640_to_498614.wav,ཁ་ཚོ། ངས་སྔོན་མ་ཁོ་ཚོི་ང་ཚོ་གྲྭ་བ་ལབ་ཡ་དེ་ཁྱིམ་ནས་ཁྱིམ་མེད་པ་རབ་ཏུ་བྱུང་བ་རེད་ལབ་ི་ཡོ་རེད་ད། འདྲ་བོ་ལབ་ཀི་འདུག་ད། ངས་ག་རེ་ལབ་གོ་རེད་འདྲ་བོ་སྐད་ཆ་དྲིས་ཡིན་པ་ཡ། ང་ཚོ་ཁྱེམ་
STT_NS0110_0061_498614_to_506587,སྐུ་ཞབས་འདི་ཚོ་ཡོད་རེད་བ། ང་ཚོ་གཞིས་ཆགས་སྐུ་ཞབས་འདི་ཚ། རེད་རེད་རེད། ཨེ་ནས། ཁོ་ཚོ་གྱི་ཁྱིམ་ལབ་ན་ད་ང་ཚོ་གྱི་ཁང་པ་ལབ་ཀྱི་ཡོད་ས་རེད་བ། ཨོང། ད་ཁྱིམ་ནས་ཁྱིམ་མེད་པ་རབ་ཏུ་བྱུང་ལབ་ན། ད་ཁང་པ།  ,sku zhabs 'di tsho yod red ba/_nga tsho gzhis chags sku zhabs 'di tsha/_red red red/_e nas/_kho tsho gyi khyim lab na da nga tsho gyi khang pa lab kyi yod sa red ba/_ong/_da khyim nas khyim med pa rab tu byung lab na/_da khang pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0061_498614_to_506587.wav,STT_NS,3,183,7.973,wav16k/STT_NS0110_0061_498614_to_506587.wav,སྐུ་ཤོགས་དེ་ཚོ་ཡོད་རེད་བ། ང་ཚོ་གཞིས་ཆགས་ཀི་སྐུ་ཤོགས་དེ་ཚོ། རེད་རེད། ཨེ་ནས་ཁོ་ཚོ་ཁྱིམ་ལབ་ན་ད་ང་ཚོ་ཁང་པ་ལབ་ཀི་ཡོད་ས་རེད་བ། ཨ། ད་ཁྱིམ་ནས་ཁྱིམ་མེད་པ་རབ་ཏུ་བྱོང་ན་ད་ཁང་པ།་
STT_NS0110_0062_506587_to_514560,རྦད་དེ་མེད། ཁང་པ་དང་ནང་མི་པུ་རཱ་གཡུག་བཞག་རྒྱོ་གྱི། འདི་འདྲེའི་གལ་ཀུ་ཅི་མེད་རྒྱོ་ཀྱི། འདི་འདྲའི་ཅིག་ཡིན་འདྲ་བོ་ལབ་ཀྱི་ཡོད་ས་རེད་ཟ། འདི་འདྲའི་འདྲ་བོ་ཅིག་ལབ་ཀྱི་རེད་ཟ། ཨོང་ཨོང།  ,rbad de med/_khang pa dang nang mi pu rA g.yug bzhag rgyo gyi/_'di 'dre'i gal ku ci med rgyo kyi/_'di 'dra'i cig yin 'dra bo lab kyi yod sa red za/_'di 'dra'i 'dra bo cig lab kyi red za/_ong ong/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0062_506587_to_514560.wav,STT_NS,3,175,7.973,wav16k/STT_NS0110_0062_506587_to_514560.wav,རྦད་དེ་ེ་ཁང་པ་དང་ནང་མི་དང་པུ་ར་གཡུག གཡུག་བཞག་རྒྱོ་གི་དེ་འདྲའ་གེ་ཀུ་ཅི་མེད་རྒྱོ་གི་དེ་འདྲ་ཅིག་ཡིན་འདྲ་བོ་ལབ་ཀི་ཡོད་ས་རེད་ཟ། དེ་འདྲའི་འདྲ་བོ་ལབ་ཀི་རེད་ཟ། ཨུ།
STT_NS0110_0063_515168_to_520290,ད་འདི་འདྲའི་མེད་དུས་ཙམ་པ་ལ། ཁོ་ཚོར་ལ་སེམས་ཁྲལ་ཡོད་མ་རེད་བ་ཡ། ཨོན། ག་རེ་ལབ་དགོས་རེད་ད། ཕ་མ་བལྟ་དགོས་ཡ་འདྲ་བོ་དང་འདི།  ,da 'di 'dra'i med dus tsam pa la/_kho tshor la sems khral yod ma red ba ya/_on/_ga re lab dgos red da/_pha ma blta dgos ya 'dra bo dang 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0063_515168_to_520290.wav,STT_NS,3,117,5.122,wav16k/STT_NS0110_0063_515168_to_520290.wav,ད་དེ་འདྲའི་མེད་དུས་ཙམ་པ་ལ་ཁོ་ཚོ་ལ་སེམས་ཁྲལ་ཡོད་མ་རེད་བ་ཡ། ཨུ། ག་རེ་ལབ་དགོས་རེད་ད་ཕ་མ་ལྟ་དགོས་ཡ་འདྲ་བོ་དང་མི།
STT_NS0110_0064_520290_to_525411,བཟའ་ཚང་བལྟ་དགོས་ཡ་འདྲ་བོ་དང་། སྐྱེ་དམན་པུ་གུ་གསོ་དགོས་ཡ་འདྲ་བོ་དང་། འདི་འདྲའི་དམིགས་བསལ་གྱི་འདི་ག་རེ་ལབ་དགོས་རེད་ད།  ,bza' tshang blta dgos ya 'dra bo dang /_skye dman pu gu gso dgos ya 'dra bo dang /_'di 'dra'i dmigs bsal gyi 'di ga re lab dgos red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0064_520290_to_525411.wav,STT_NS,3,117,5.121,wav16k/STT_NS0110_0064_520290_to_525411.wav,དང་སང་ལྟ་དགོས་ཡ་འདྲ་བོ་དང་། སྐྱེ་དམན་པུ་གུ་གསོ་དགོས་ཡ་འདྲ་བོ་དང་། དེ་འདྲ་གི་དམིགས་བསལ་གི་འདི་ག་རེ་ལབ་དགོས་རེད།
STT_NS0110_0065_525985_to_535435,འདི་ཁོ་ཚོ་ལ་འགན་འདྲ་བོ་འདི་འདྲའི་གལ་ཀུ་ཅི་ཡོད་མ་རེད་བ། འགན་འདི་ཡོད་མ་རེད་བ་ཡ། ཨོན། མེད་དུས་ཙམ་པ་ལ། ཁོ་ཚོ་སྐྱིད་མདོག་ཁ་པོ་མཐོང་གི་རེད་ད། ང་ཚོར་མཐོང་གི་འདུག་བ་ཡ། རེད་རེད་རེད། ང་ཚོས་སྐྱིད་མདོག་ཁ་པོ་མཐོང་གི་རེད་ད། ཡིན་ན། ཁོ་རང་ཚོ་ལ།  ,'di kho tsho la 'gan 'dra bo 'di 'dra'i gal ku ci yod ma red ba/_'gan 'di yod ma red ba ya/_on/_med dus tsam pa la/_kho tsho skyid mdog kha po mthong gi red da/_nga tshor mthong gi 'dug ba ya/_red red red/_nga tshos skyid mdog kha po mthong gi red da/_yin na/_kho rang tsho la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0065_525985_to_535435.wav,STT_NS,3,230,9.45,wav16k/STT_NS0110_0065_525985_to_535435.wav,དེ་ཁོ་ཚོ་ན་འགན་འདྲ་བོ་དེ་འདྲའ་གེ་ཀུ་ཅི་ཡོད་མ་རེད་བ། འགན་ད་ཡོད་མ་རེད་བ་ཡ།  ཡེད་དུས་ཙམ་པ་ལ་ཁོ་ཚོ་སྐྱིད་མཉམས་ཁ་པོ་མཐོང་གི་ཡོད་རེད་ད། ང་ཚོ་མཐོང་གི་འདུག་བ་ཡ། རེད་རེད། ཁོ་ཚོ་སྐྱིད་མ་ོ་ཁ་བོ་མཐོང་གི་ཡོད་རེད་ད། ཡིན་ནས་ཁོ་རང་ཚོ་ལ་
STT_NS0110_0066_535587_to_541712,སེམས་ཁྲལ་ད་ཡོད་ཀྱི་རེད་བསམ་གྱི་འདུག་ཡ། ཨོན། ག་རེ་བྱེད་ནས་ལབ་ན། སྐུ་ཞབས་ཁ་ཤས། རྦད་དེ། སློབ་སྦྱོང་ལ་དཔེ་ཆ་མ་ཤེས་ནས་ཉོབ་བསྡད་ངེ་དཔེ་མང་པོ་ཡོད་རེད།  ,sems khral da yod kyi red bsam gyi 'dug ya/_on/_ga re byed nas lab na/_sku zhabs kha shas/_rbad de/_slob sbyong la dpe cha ma shes nas nyob bsdad nge dpe mang po yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0066_535587_to_541712.wav,STT_NS,3,145,6.125,wav16k/STT_NS0110_0066_535587_to_541712.wav,སེམས་ཁྲལ་ད་ཡོད་ཀྱི་རེད་བསམ་གི་འདུག་ཡ།  ག་རེ་བྱས་ནས་ལབ་ན་རེད་བ། སྐུ་ཞགས་ཀ་ཅི་རྦད་དེ་སློབ་སྦྱོང་དཔེ་ཆ་མ་བྱས་ནས་ཉོབ་བསྡད་མྱན་དཔེ་མང་པོ་ཡོད་རེད།
STT_NS0110_0067_542084_to_549795,དཔེ་ཆ་བརྩོན་འགྲུས་བྱེད་བྱེད། ཡང་རིག་པ་ཐང་པོ་མེད། ཡང་ཁ་ཤས་ནད་པ་འདྲ་བོ་ཆགས། དཔེ་ཆ་ལྟ་མ་ཐུབ། རོགས་པ་འདི་ཚོ་ནི་དཔེ་ཆ་ཡག་དྲག་ཡ་ཆགས།  ,dpe cha brtson 'grus byed byed/_yang rig pa thang po med/_yang kha shas nad pa 'dra bo chags/_dpe cha lta ma thub/_rogs pa 'di tsho ni dpe cha yag drag ya chags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0067_542084_to_549795.wav,STT_NS,3,128,7.711,wav16k/STT_NS0110_0067_542084_to_549795.wav,དཔེ་ཆ་བརྩོན་འགྲུས་བྱས་བྱས་ཡང་རིག་པ་ཐང་པོ་མེད། ཡང་ཁ་ཤས་ནད་པ་འདྲ་བོ་ཆགས། དཔེ་ཆ་ལྟ་མ་ཐུབ། རོགས་པ་དེ་ཚོ་ནི་དཔེ་ཆ་ཡག་རུ་རག་ཡ་ཆགས།
STT_NS0110_0068_549947_to_556706,ཁོ་ཚོ་དེབ་འདི་གེའི་ཀློག་མ་ཐུབ། འདི་འདྲའི་བྱས། དཀའ་ངལ་ད་ཡོད་ཡ་ཡོད་ཀྱི་རེད་བསམ་གྱི་རེད། བསམ་གྱི་འདུག་རེད་བ། ཨོན། ཁ་ཤས་ཡོད་རེད་འདྲ་བོ་འདི་འདྲའི་ང་བཤད་པ་མཐོང་སོང་ད། ཨོང། ད་ང་ཚོ་གྱི་ ,kho tsho deb 'di ge'i klog ma thub/_'di 'dra'i byas/_dka' ngal da yod ya yod kyi red bsam gyi red/_bsam gyi 'dug red ba/_on/_kha shas yod red 'dra bo 'di 'dra'i nga bshad pa mthong song da/_ong/_da nga tsho gyi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0110_0068_549947_to_556706.wav,STT_NS,3,178,6.759,wav16k/STT_NS0110_0068_549947_to_556706.wav,ཁོ་ཚོ་དེབ་དེ་ཡ་ཀློག་མ་ཐུབ་དེ་འདྲའ་ཅིག་དཀའ་ངལ་ད་ཡོད་ཡ་ཡོད་ཀྱི་རེད་བསམ་གི་འདུག་རེད་བ། ཁ་ཤས་ཡོད་རེད་འདྲ་བོ།་དེ་འདྲ་ི་ང་བཤད་ཀ་མཐོང་སོང་ད། ཨུ། ད་ང་ཚོ་གིས་
